Node Number	Directional Deformation (µm)
1448	0.14973
1449	1.7408
1450	1.7369
1451	2.78e-003
1452	7.1014e-002
1453	0.20287
1454	5.8792e-003
1455	1.4175e-005
1456	-2.8579e-002
1457	3.5925e-002
1458	0.12558
1459	5.3278e-002
1460	0.94623
1461	-1.7509e-002
1462	-2.2573e-002
1463	2.1763e-002
1464	-2.2199e-002
1465	1.6909e-002
1466	-1.535e-003
1467	9.6897e-002
1468	1.5877
1469	2.1136e-002
1470	0.30705
1471	0.27727
1472	0.33499
1473	0.11635
1474	0.10567
1475	2.0541
1476	2.7214e-002
1477	1.9229e-002
1478	0.70181
1479	0.6504
1480	0.21559
1481	1.9563
1482	7.1506e-002
1483	0.13111
1484	4.908e-003
1485	5.0091e-004
1486	1.8232
1487	-1.5408e-002
1488	4.2433e-002
1489	3.9524e-002
1490	1.3732
1491	1.0719
1492	0.72597
1493	0.92168
1494	0.23024
1495	0.16447
1496	0.14369
1497	0.1625
1498	0.7544
1499	0.525
1500	-1.9092e-002
1501	-4.0551e-002
1502	0.1336
1503	0.15497
1504	-5.1648e-003
1505	-3.5404e-003
1506	2.8146e-003
1507	4.6349e-003
1508	0.85229
1509	0.617
1510	0.15627
1511	0.12542
1512	5.0698e-003
1513	-1.6149e-004
1514	0.5934
1515	0.13098
1516	4.76e-002
1517	1.9786e-002
1518	1.595
1519	0.82907
1520	4.0724e-002
1521	0.5391
1522	3.4573e-002
1523	0.56669
1524	2.0854e-002
1525	-1.1179e-002
1526	3.9565e-003
1527	1.1909
1528	0.35005
1529	0.10687
1530	1.7026e-002
1531	3.6796e-002
1532	0.13313
1533	4.2044e-002
1534	-6.8591e-002
1535	3.1369e-003
1536	1.4005e-002
1537	1.0044
1538	1.1335
1539	0.10359
1540	0.46547
1541	6.0685e-003
1542	1.8292e-002
1543	1.1111
1544	0.75928
1545	-5.0042e-002
